lcl|NC_000962.3_prot_NP_214515.1_1	cds-NP_214515.1
lcl|NC_000962.3_prot_NP_215402.1_890	cds-NP_215402.1
lcl|NC_000962.3_prot_NP_215403.1_891	cds-NP_215403.1
lcl|NC_000962.3_prot_NP_215404.1_892	cds-NP_215404.1
lcl|NC_000962.3_prot_NP_215405.1_893	cds-NP_215405.1
lcl|NC_000962.3_prot_NP_215406.1_894	cds-NP_215406.1
lcl|NC_000962.3_prot_NP_215407.1_895	cds-NP_215407.1
lcl|NC_000962.3_prot_NP_215408.1_896	cds-NP_215408.1
lcl|NC_000962.3_prot_NP_215409.1_897	cds-NP_215409.1
lcl|NC_000962.3_prot_NP_215410.1_898	cds-NP_215410.1
lcl|NC_000962.3_prot_NP_215411.1_899	cds-NP_215411.1
lcl|NC_000962.3_prot_NP_215412.1_900	cds-NP_215412.1
lcl|NC_000962.3_prot_NP_215413.1_901	cds-NP_215413.1
lcl|NC_000962.3_prot_NP_215414.1_902	cds-NP_215414.1
lcl|NC_000962.3_prot_NP_215415.1_903	cds-NP_215415.1
lcl|NC_000962.3_prot_NP_215416.1_904	cds-NP_215416.1
lcl|NC_000962.3_prot_NP_215417.1_905	cds-NP_215417.1
lcl|NC_000962.3_prot_NP_215418.1_906	cds-NP_215418.1
lcl|NC_000962.3_prot_NP_215419.1_907	cds-NP_215419.1
lcl|NC_000962.3_prot_NP_215420.1_908	cds-NP_215420.1
lcl|NC_000962.3_prot_NP_215421.1_909	cds-NP_215421.1
lcl|NC_000962.3_prot_NP_215422.1_910	cds-NP_215422.1
lcl|NC_000962.3_prot_NP_215423.1_911	cds-NP_215423.1
lcl|NC_000962.3_prot_NP_215424.1_912	cds-NP_215424.1
lcl|NC_000962.3_prot_NP_215425.1_913	cds-NP_215425.1
lcl|NC_000962.3_prot_NP_215426.1_914	cds-NP_215426.1
lcl|NC_000962.3_prot_NP_215427.1_915	cds-NP_215427.1
lcl|NC_000962.3_prot_NP_215428.1_916	cds-NP_215428.1
lcl|NC_000962.3_prot_NP_215429.1_917	cds-NP_215429.1
lcl|NC_000962.3_prot_YP_177765.1_918	cds-YP_177765.1
lcl|NC_000962.3_prot_YP_177766.1_919	cds-YP_177766.1
lcl|NC_000962.3_prot_NP_215432.1_920	cds-NP_215432.1
lcl|NC_000962.3_prot_NP_215433.1_921	cds-NP_215433.1
lcl|NC_000962.3_prot_NP_215434.1_922	cds-NP_215434.1
lcl|NC_000962.3_prot_NP_215435.1_923	cds-NP_215435.1
lcl|NC_000962.3_prot_NP_215436.1_924	cds-NP_215436.1
lcl|NC_000962.3_prot_NP_215437.1_925	cds-NP_215437.1
lcl|NC_000962.3_prot_NP_215438.1_926	cds-NP_215438.1
lcl|NC_000962.3_prot_YP_177767.1_927	cds-YP_177767.1
lcl|NC_000962.3_prot_NP_215440.1_928	cds-NP_215440.1
lcl|NC_000962.3_prot_NP_215441.1_929	cds-NP_215441.1
lcl|NC_000962.3_prot_NP_215442.1_930	cds-NP_215442.1
lcl|NC_000962.3_prot_YP_177768.1_931	cds-YP_177768.1
lcl|NC_000962.3_prot_NP_215444.1_932	cds-NP_215444.1
lcl|NC_000962.3_prot_NP_215445.2_933	cds-NP_215445.2
lcl|NC_000962.3_prot_NP_215446.1_934	cds-NP_215446.1
lcl|NC_000962.3_prot_YP_177769.1_935	cds-YP_177769.1
lcl|NC_000962.3_prot_NP_215448.1_936	cds-NP_215448.1
lcl|NC_000962.3_prot_YP_177770.1_937	cds-YP_177770.1
lcl|NC_000962.3_prot_YP_177771.1_938	cds-YP_177771.1
lcl|NC_000962.3_prot_NP_215451.1_939	cds-NP_215451.1
lcl|NC_000962.3_prot_NP_215452.1_940	cds-NP_215452.1
lcl|NC_000962.3_prot_NP_215453.1_941	cds-NP_215453.1
lcl|NC_000962.3_prot_NP_215454.1_942	cds-NP_215454.1
lcl|NC_000962.3_prot_NP_215455.1_943	cds-NP_215455.1
lcl|NC_000962.3_prot_NP_215456.1_944	cds-NP_215456.1
lcl|NC_000962.3_prot_NP_215457.1_945	cds-NP_215457.1
lcl|NC_000962.3_prot_NP_215458.1_946	cds-NP_215458.1
lcl|NC_000962.3_prot_NP_215459.1_947	cds-NP_215459.1
lcl|NC_000962.3_prot_NP_215460.1_948	cds-NP_215460.1
lcl|NC_000962.3_prot_NP_215461.1_949	cds-NP_215461.1
lcl|NC_000962.3_prot_NP_215463.1_950	cds-NP_215463.1
lcl|NC_000962.3_prot_YP_177772.1_951	cds-YP_177772.1
lcl|NC_000962.3_prot_NP_215465.1_952	cds-NP_215465.1
lcl|NC_000962.3_prot_NP_215466.1_953	cds-NP_215466.1
lcl|NC_000962.3_prot_NP_215467.1_954	cds-NP_215467.1
lcl|NC_000962.3_prot_NP_215468.1_955	cds-NP_215468.1
lcl|NC_000962.3_prot_NP_215469.1_956	cds-NP_215469.1
lcl|NC_000962.3_prot_NP_215470.1_957	cds-NP_215470.1
lcl|NC_000962.3_prot_NP_215471.1_958	cds-NP_215471.1
lcl|NC_000962.3_prot_NP_215472.1_959	cds-NP_215472.1
lcl|NC_000962.3_prot_NP_215473.1_960	cds-NP_215473.1
lcl|NC_000962.3_prot_NP_215474.1_961	cds-NP_215474.1
lcl|NC_000962.3_prot_YP_007409620.1_962	cds-YP_007409620.1
lcl|NC_000962.3_prot_NP_215475.1_963	cds-NP_215475.1
lcl|NC_000962.3_prot_NP_215476.1_964	cds-NP_215476.1
lcl|NC_000962.3_prot_NP_215477.1_965	cds-NP_215477.1
lcl|NC_000962.3_prot_NP_215478.1_966	cds-NP_215478.1
lcl|NC_000962.3_prot_NP_215479.1_967	cds-NP_215479.1
lcl|NC_000962.3_prot_NP_215480.1_968	cds-NP_215480.1
lcl|NC_000962.3_prot_NP_215481.2_969	cds-NP_215481.2
lcl|NC_000962.3_prot_NP_215482.1_970	cds-NP_215482.1
lcl|NC_000962.3_prot_NP_215483.1_971	cds-NP_215483.1
lcl|NC_000962.3_prot_NP_215484.3_972	cds-NP_215484.3
lcl|NC_000962.3_prot_NP_215485.1_973	cds-NP_215485.1
lcl|NC_000962.3_prot_NP_215486.1_974	cds-NP_215486.1
lcl|NC_000962.3_prot_NP_215487.1_975	cds-NP_215487.1
lcl|NC_000962.3_prot_NP_215488.1_976	cds-NP_215488.1
lcl|NC_000962.3_prot_NP_215489.1_977	cds-NP_215489.1
lcl|NC_000962.3_prot_NP_215490.1_978	cds-NP_215490.1
lcl|NC_000962.3_prot_NP_215491.1_979	cds-NP_215491.1
lcl|NC_000962.3_prot_YP_177773.1_980	cds-YP_177773.1
lcl|NC_000962.3_prot_YP_177774.1_981	cds-YP_177774.1
lcl|NC_000962.3_prot_NP_215494.2_982	cds-NP_215494.2
lcl|NC_000962.3_prot_YP_177635.1_983	cds-YP_177635.1
lcl|NC_000962.3_prot_YP_177775.1_984	cds-YP_177775.1
lcl|NC_000962.3_prot_NP_215496.2_985	cds-NP_215496.2
lcl|NC_000962.3_prot_NP_215497.1_986	cds-NP_215497.1
lcl|NC_000962.3_prot_NP_215498.1_987	cds-NP_215498.1
lcl|NC_000962.3_prot_NP_215499.1_988	cds-NP_215499.1
lcl|NC_000962.3_prot_NP_215500.1_989	cds-NP_215500.1
lcl|NC_000962.3_prot_NP_215501.1_990	cds-NP_215501.1
lcl|NC_000962.3_prot_NP_215502.1_991	cds-NP_215502.1
lcl|NC_000962.3_prot_NP_215503.1_992	cds-NP_215503.1
lcl|NC_000962.3_prot_NP_215504.1_993	cds-NP_215504.1
lcl|NC_000962.3_prot_NP_215505.1_994	cds-NP_215505.1
lcl|NC_000962.3_prot_NP_215506.1_995	cds-NP_215506.1
lcl|NC_000962.3_prot_NP_215507.1_996	cds-NP_215507.1
lcl|NC_000962.3_prot_NP_215508.1_997	cds-NP_215508.1
lcl|NC_000962.3_prot_YP_177776.1_998	cds-YP_177776.1
lcl|NC_000962.3_prot_NP_215510.1_999	cds-NP_215510.1
lcl|NC_000962.3_prot_NP_215511.1_1000	cds-NP_215511.1
lcl|NC_000962.3_prot_YP_009030028.1_1001	cds-YP_009030028.1
lcl|NC_000962.3_prot_NP_215512.1_1002	cds-NP_215512.1
lcl|NC_000962.3_prot_NP_215513.1_1003	cds-NP_215513.1
lcl|NC_000962.3_prot_NP_215514.1_1004	cds-NP_215514.1
lcl|NC_000962.3_prot_YP_177777.1_1005	cds-YP_177777.1
lcl|NC_000962.3_prot_NP_215517.1_1006	cds-NP_215517.1
lcl|NC_000962.3_prot_NP_215518.1_1007	cds-NP_215518.1
lcl|NC_000962.3_prot_NP_215519.1_1008	cds-NP_215519.1
lcl|NC_000962.3_prot_NP_215520.1_1009	cds-NP_215520.1
lcl|NC_000962.3_prot_NP_215521.1_1010	cds-NP_215521.1
lcl|NC_000962.3_prot_NP_215522.1_1011	cds-NP_215522.1
lcl|NC_000962.3_prot_NP_215523.1_1012	cds-NP_215523.1
lcl|NC_000962.3_prot_NP_215524.1_1013	cds-NP_215524.1
lcl|NC_000962.3_prot_NP_215525.1_1014	cds-NP_215525.1
lcl|NC_000962.3_prot_NP_215526.1_1015	cds-NP_215526.1
lcl|NC_000962.3_prot_NP_215527.1_1016	cds-NP_215527.1
lcl|NC_000962.3_prot_NP_215528.1_1017	cds-NP_215528.1
lcl|NC_000962.3_prot_NP_215529.1_1018	cds-NP_215529.1
lcl|NC_000962.3_prot_NP_215530.1_1019	cds-NP_215530.1
lcl|NC_000962.3_prot_NP_215531.1_1020	cds-NP_215531.1
lcl|NC_000962.3_prot_NP_215532.1_1021	cds-NP_215532.1
lcl|NC_000962.3_prot_NP_215533.1_1022	cds-NP_215533.1
lcl|NC_000962.3_prot_NP_215534.1_1023	cds-NP_215534.1
lcl|NC_000962.3_prot_NP_215535.1_1024	cds-NP_215535.1
lcl|NC_000962.3_prot_NP_215536.1_1025	cds-NP_215536.1
lcl|NC_000962.3_prot_NP_215537.1_1026	cds-NP_215537.1
lcl|NC_000962.3_prot_NP_215538.1_1027	cds-NP_215538.1
lcl|NC_000962.3_prot_NP_215539.1_1028	cds-NP_215539.1
lcl|NC_000962.3_prot_NP_215540.1_1029	cds-NP_215540.1
lcl|NC_000962.3_prot_NP_215541.1_1030	cds-NP_215541.1
lcl|NC_000962.3_prot_NP_215542.1_1031	cds-NP_215542.1
lcl|NC_000962.3_prot_NP_215543.1_1032	cds-NP_215543.1
lcl|NC_000962.3_prot_NP_215544.1_1033	cds-NP_215544.1
lcl|NC_000962.3_prot_YP_177636.1_1034	cds-YP_177636.1
lcl|NC_000962.3_prot_NP_215545.1_1035	cds-NP_215545.1
lcl|NC_000962.3_prot_NP_215546.1_1036	cds-NP_215546.1
lcl|NC_000962.3_prot_NP_215547.1_1037	cds-NP_215547.1
lcl|NC_000962.3_prot_NP_215548.1_1038	cds-NP_215548.1
lcl|NC_000962.3_prot_NP_215549.1_1039	cds-NP_215549.1
lcl|NC_000962.3_prot_NP_215553.1_1040	cds-NP_215553.1
lcl|NC_000962.3_prot_NP_215554.1_1041	cds-NP_215554.1
lcl|NC_000962.3_prot_YP_177778.1_1042	cds-YP_177778.1
lcl|NC_000962.3_prot_YP_177779.1_1043	cds-YP_177779.1
lcl|NC_000962.3_prot_NP_215557.1_1044	cds-NP_215557.1
lcl|NC_000962.3_prot_NP_215558.1_1045	cds-NP_215558.1
lcl|NC_000962.3_prot_NP_215559.1_1046	cds-NP_215559.1
lcl|NC_000962.3_prot_NP_215560.1_1047	cds-NP_215560.1
lcl|NC_000962.3_prot_NP_215561.1_1048	cds-NP_215561.1
lcl|NC_000962.3_prot_NP_215563.1_1049	cds-NP_215563.1
lcl|NC_000962.3_prot_NP_215564.1_1050	cds-NP_215564.1
lcl|NC_000962.3_prot_NP_215565.1_1051	cds-NP_215565.1
lcl|NC_000962.3_prot_NP_215566.1_1052	cds-NP_215566.1
lcl|NC_000962.3_prot_NP_215567.1_1053	cds-NP_215567.1
lcl|NC_000962.3_prot_NP_215568.1_1054	cds-NP_215568.1
lcl|NC_000962.3_prot_NP_215572.1_1055	cds-NP_215572.1
lcl|NC_000962.3_prot_NP_215573.1_1056	cds-NP_215573.1
lcl|NC_000962.3_prot_NP_215574.1_1057	cds-NP_215574.1
lcl|NC_000962.3_prot_NP_215575.1_1058	cds-NP_215575.1
lcl|NC_000962.3_prot_NP_215576.1_1059	cds-NP_215576.1
lcl|NC_000962.3_prot_NP_215577.1_1060	cds-NP_215577.1
lcl|NC_000962.3_prot_NP_215578.1_1061	cds-NP_215578.1
lcl|NC_000962.3_prot_NP_215579.1_1062	cds-NP_215579.1
lcl|NC_000962.3_prot_NP_215580.1_1063	cds-NP_215580.1
lcl|NC_000962.3_prot_NP_215581.1_1064	cds-NP_215581.1
lcl|NC_000962.3_prot_NP_215582.1_1065	cds-NP_215582.1
lcl|NC_000962.3_prot_YP_177780.1_1066	cds-YP_177780.1
lcl|NC_000962.3_prot_YP_177781.1_1067	cds-YP_177781.1
lcl|NC_000962.3_prot_NP_215585.1_1068	cds-NP_215585.1
lcl|NC_000962.3_prot_NP_215586.1_1069	cds-NP_215586.1
lcl|NC_000962.3_prot_NP_215587.1_1070	cds-NP_215587.1
lcl|NC_000962.3_prot_NP_215588.1_1071	cds-NP_215588.1
lcl|NC_000962.3_prot_NP_215589.1_1072	cds-NP_215589.1
lcl|NC_000962.3_prot_NP_215590.1_1073	cds-NP_215590.1
lcl|NC_000962.3_prot_NP_215591.1_1074	cds-NP_215591.1
lcl|NC_000962.3_prot_NP_215592.1_1075	cds-NP_215592.1
lcl|NC_000962.3_prot_YP_177782.1_1076	cds-YP_177782.1
lcl|NC_000962.3_prot_NP_215594.1_1077	cds-NP_215594.1
lcl|NC_000962.3_prot_NP_215595.1_1078	cds-NP_215595.1
lcl|NC_000962.3_prot_NP_215596.1_1079	cds-NP_215596.1
lcl|NC_000962.3_prot_NP_215597.1_1080	cds-NP_215597.1
lcl|NC_000962.3_prot_NP_215598.1_1081	cds-NP_215598.1
lcl|NC_000962.3_prot_NP_215599.1_1082	cds-NP_215599.1
lcl|NC_000962.3_prot_NP_215600.1_1083	cds-NP_215600.1
lcl|NC_000962.3_prot_NP_215601.1_1084	cds-NP_215601.1
lcl|NC_000962.3_prot_NP_215602.1_1085	cds-NP_215602.1
lcl|NC_000962.3_prot_YP_177783.1_1086	cds-YP_177783.1
lcl|NC_000962.3_prot_YP_177784.1_1087	cds-YP_177784.1
lcl|NC_000962.3_prot_YP_009030029.1_1088	cds-YP_009030029.1
lcl|NC_000962.3_prot_YP_177786.1_1089	cds-YP_177786.1
lcl|NC_000962.3_prot_NP_215608.1_1090	cds-NP_215608.1
lcl|NC_000962.3_prot_YP_177787.3_1091	cds-YP_177787.3
lcl|NC_000962.3_prot_NP_215610.1_1092	cds-NP_215610.1
lcl|NC_000962.3_prot_NP_215611.1_1093	cds-NP_215611.1
lcl|NC_000962.3_prot_NP_215612.1_1094	cds-NP_215612.1
lcl|NC_000962.3_prot_NP_215613.1_1095	cds-NP_215613.1
lcl|NC_000962.3_prot_NP_215614.1_1096	cds-NP_215614.1
lcl|NC_000962.3_prot_NP_215615.3_1097	cds-NP_215615.3
lcl|NC_000962.3_prot_NP_215616.1_1098	cds-NP_215616.1
lcl|NC_000962.3_prot_NP_215617.1_1099	cds-NP_215617.1
lcl|NC_000962.3_prot_NP_215618.1_1100	cds-NP_215618.1
lcl|NC_000962.3_prot_NP_215619.1_1101	cds-NP_215619.1
lcl|NC_000962.3_prot_NP_215622.1_1102	cds-NP_215622.1
lcl|NC_000962.3_prot_NP_215623.1_1103	cds-NP_215623.1
lcl|NC_000962.3_prot_NP_215624.1_1104	cds-NP_215624.1
lcl|NC_000962.3_prot_NP_215625.1_1105	cds-NP_215625.1
lcl|NC_000962.3_prot_YP_177788.1_1106	cds-YP_177788.1
lcl|NC_000962.3_prot_NP_215627.2_1107	cds-NP_215627.2
lcl|NC_000962.3_prot_NP_215628.1_1108	cds-NP_215628.1
lcl|NC_000962.3_prot_NP_215629.1_1109	cds-NP_215629.1
lcl|NC_000962.3_prot_NP_215630.1_1110	cds-NP_215630.1
lcl|NC_000962.3_prot_NP_215631.1_1111	cds-NP_215631.1
lcl|NC_000962.3_prot_NP_215632.1_1112	cds-NP_215632.1
lcl|NC_000962.3_prot_NP_215633.1_1113	cds-NP_215633.1
lcl|NC_000962.3_prot_NP_215634.1_1114	cds-NP_215634.1
lcl|NC_000962.3_prot_NP_215635.1_1115	cds-NP_215635.1
lcl|NC_000962.3_prot_NP_215636.1_1116	cds-NP_215636.1
lcl|NC_000962.3_prot_YP_177789.1_1117	cds-YP_177789.1
lcl|NC_000962.3_prot_NP_215638.1_1118	cds-NP_215638.1
lcl|NC_000962.3_prot_NP_215639.1_1119	cds-NP_215639.1
lcl|NC_000962.3_prot_NP_215640.1_1120	cds-NP_215640.1
lcl|NC_000962.3_prot_NP_215641.1_1121	cds-NP_215641.1
lcl|NC_000962.3_prot_NP_215642.1_1122	cds-NP_215642.1
lcl|NC_000962.3_prot_NP_215643.1_1123	cds-NP_215643.1
lcl|NC_000962.3_prot_NP_215644.1_1124	cds-NP_215644.1
lcl|NC_000962.3_prot_NP_215645.1_1125	cds-NP_215645.1
lcl|NC_000962.3_prot_NP_215646.1_1126	cds-NP_215646.1
lcl|NC_000962.3_prot_NP_215647.1_1127	cds-NP_215647.1
lcl|NC_000962.3_prot_NP_215648.1_1128	cds-NP_215648.1
lcl|NC_000962.3_prot_NP_215649.1_1129	cds-NP_215649.1
lcl|NC_000962.3_prot_NP_215650.1_1130	cds-NP_215650.1
lcl|NC_000962.3_prot_YP_177790.1_1131	cds-YP_177790.1
lcl|NC_000962.3_prot_YP_009030030.1_1132	cds-YP_009030030.1
lcl|NC_000962.3_prot_NP_215654.1_1133	cds-NP_215654.1
lcl|NC_000962.3_prot_NP_215655.1_1134	cds-NP_215655.1
lcl|NC_000962.3_prot_NP_215656.1_1135	cds-NP_215656.1
lcl|NC_000962.3_prot_NP_215657.1_1136	cds-NP_215657.1
lcl|NC_000962.3_prot_NP_215658.1_1137	cds-NP_215658.1
lcl|NC_000962.3_prot_NP_215659.1_1138	cds-NP_215659.1
lcl|NC_000962.3_prot_NP_215660.1_1139	cds-NP_215660.1
lcl|NC_000962.3_prot_NP_215661.1_1140	cds-NP_215661.1
lcl|NC_000962.3_prot_NP_215662.1_1141	cds-NP_215662.1
lcl|NC_000962.3_prot_NP_215663.1_1142	cds-NP_215663.1
lcl|NC_000962.3_prot_NP_215664.1_1143	cds-NP_215664.1
lcl|NC_000962.3_prot_NP_215665.1_1144	cds-NP_215665.1
lcl|NC_000962.3_prot_NP_215667.1_1145	cds-NP_215667.1
lcl|NC_000962.3_prot_NP_215668.1_1146	cds-NP_215668.1
lcl|NC_000962.3_prot_NP_215669.1_1147	cds-NP_215669.1
lcl|NC_000962.3_prot_NP_215670.1_1148	cds-NP_215670.1
lcl|NC_000962.3_prot_NP_215671.1_1149	cds-NP_215671.1
lcl|NC_000962.3_prot_YP_009030031.1_1150	cds-YP_009030031.1
lcl|NC_000962.3_prot_NP_215672.1_1151	cds-NP_215672.1
lcl|NC_000962.3_prot_NP_215673.1_1152	cds-NP_215673.1
lcl|NC_000962.3_prot_NP_215674.1_1153	cds-NP_215674.1
lcl|NC_000962.3_prot_NP_215675.1_1154	cds-NP_215675.1
lcl|NC_000962.3_prot_YP_177641.1_1155	cds-YP_177641.1
lcl|NC_000962.3_prot_NP_215676.1_1156	cds-NP_215676.1
lcl|NC_000962.3_prot_NP_215677.1_1157	cds-NP_215677.1
lcl|NC_000962.3_prot_NP_215678.1_1158	cds-NP_215678.1
lcl|NC_000962.3_prot_NP_215679.1_1159	cds-NP_215679.1
lcl|NC_000962.3_prot_NP_215680.1_1160	cds-NP_215680.1
lcl|NC_000962.3_prot_NP_215681.1_1161	cds-NP_215681.1
lcl|NC_000962.3_prot_NP_215682.1_1162	cds-NP_215682.1
lcl|NC_000962.3_prot_NP_215683.1_1163	cds-NP_215683.1
lcl|NC_000962.3_prot_YP_177791.1_1164	cds-YP_177791.1
lcl|NC_000962.3_prot_YP_177792.1_1165	cds-YP_177792.1
lcl|NC_000962.3_prot_NP_215686.1_1166	cds-NP_215686.1
lcl|NC_000962.3_prot_NP_215687.2_1167	cds-NP_215687.2
lcl|NC_000962.3_prot_YP_177793.1_1168	cds-YP_177793.1
lcl|NC_000962.3_prot_NP_215689.1_1169	cds-NP_215689.1
lcl|NC_000962.3_prot_NP_215690.1_1170	cds-NP_215690.1
lcl|NC_000962.3_prot_NP_215691.1_1171	cds-NP_215691.1
lcl|NC_000962.3_prot_NP_215692.1_1172	cds-NP_215692.1
lcl|NC_000962.3_prot_NP_215693.1_1173	cds-NP_215693.1
lcl|NC_000962.3_prot_NP_215694.1_1174	cds-NP_215694.1
lcl|NC_000962.3_prot_NP_215695.1_1175	cds-NP_215695.1
lcl|NC_000962.3_prot_NP_215696.1_1176	cds-NP_215696.1
lcl|NC_000962.3_prot_NP_215697.1_1177	cds-NP_215697.1
lcl|NC_000962.3_prot_NP_215698.1_1178	cds-NP_215698.1
lcl|NC_000962.3_prot_NP_215699.1_1179	cds-NP_215699.1
lcl|NC_000962.3_prot_NP_215700.1_1180	cds-NP_215700.1
lcl|NC_000962.3_prot_NP_215701.1_1181	cds-NP_215701.1
lcl|NC_000962.3_prot_NP_215702.1_1182	cds-NP_215702.1
lcl|NC_000962.3_prot_NP_215703.1_1183	cds-NP_215703.1
lcl|NC_000962.3_prot_NP_215704.1_1184	cds-NP_215704.1
lcl|NC_000962.3_prot_NP_215705.1_1185	cds-NP_215705.1
lcl|NC_000962.3_prot_NP_215706.1_1186	cds-NP_215706.1
lcl|NC_000962.3_prot_NP_215707.1_1187	cds-NP_215707.1
lcl|NC_000962.3_prot_NP_215708.1_1188	cds-NP_215708.1
lcl|NC_000962.3_prot_NP_215709.1_1189	cds-NP_215709.1
lcl|NC_000962.3_prot_NP_215710.1_1190	cds-NP_215710.1
lcl|NC_000962.3_prot_YP_177794.1_1191	cds-YP_177794.1
lcl|NC_000962.3_prot_YP_177795.1_1192	cds-YP_177795.1
lcl|NC_000962.3_prot_NP_215713.1_1193	cds-NP_215713.1
lcl|NC_000962.3_prot_NP_215714.1_1194	cds-NP_215714.1
lcl|NC_000962.3_prot_NP_215715.1_1195	cds-NP_215715.1
lcl|NC_000962.3_prot_NP_215716.1_1196	cds-NP_215716.1
lcl|NC_000962.3_prot_NP_215717.1_1197	cds-NP_215717.1
lcl|NC_000962.3_prot_YP_177796.1_1198	cds-YP_177796.1
lcl|NC_000962.3_prot_NP_215719.1_1199	cds-NP_215719.1
lcl|NC_000962.3_prot_NP_215720.1_1200	cds-NP_215720.1
lcl|NC_000962.3_prot_NP_215721.1_1201	cds-NP_215721.1
lcl|NC_000962.3_prot_NP_215722.1_1202	cds-NP_215722.1
lcl|NC_000962.3_prot_NP_215723.1_1203	cds-NP_215723.1
lcl|NC_000962.3_prot_NP_215724.1_1204	cds-NP_215724.1
lcl|NC_000962.3_prot_NP_215725.1_1205	cds-NP_215725.1
lcl|NC_000962.3_prot_NP_215726.1_1206	cds-NP_215726.1
lcl|NC_000962.3_prot_NP_215727.1_1207	cds-NP_215727.1
lcl|NC_000962.3_prot_NP_215728.1_1208	cds-NP_215728.1
lcl|NC_000962.3_prot_NP_215729.1_1209	cds-NP_215729.1
lcl|NC_000962.3_prot_YP_177797.1_1210	cds-YP_177797.1
lcl|NC_000962.3_prot_NP_215731.1_1211	cds-NP_215731.1
lcl|NC_000962.3_prot_NP_215732.1_1212	cds-NP_215732.1
lcl|NC_000962.3_prot_NP_215733.1_1213	cds-NP_215733.1
lcl|NC_000962.3_prot_NP_215734.1_1214	cds-NP_215734.1
lcl|NC_000962.3_prot_NP_215735.1_1215	cds-NP_215735.1
lcl|NC_000962.3_prot_NP_215736.1_1216	cds-NP_215736.1
lcl|NC_000962.3_prot_NP_215737.1_1217	cds-NP_215737.1
lcl|NC_000962.3_prot_NP_215738.1_1218	cds-NP_215738.1
lcl|NC_000962.3_prot_NP_215739.2_1219	cds-NP_215739.2
lcl|NC_000962.3_prot_NP_215740.1_1220	cds-NP_215740.1
lcl|NC_000962.3_prot_NP_215741.1_1221	cds-NP_215741.1
lcl|NC_000962.3_prot_NP_215742.1_1222	cds-NP_215742.1
lcl|NC_000962.3_prot_NP_215743.1_1223	cds-NP_215743.1
lcl|NC_000962.3_prot_NP_215744.1_1224	cds-NP_215744.1
lcl|NC_000962.3_prot_YP_009030032.1_1225	cds-YP_009030032.1
lcl|NC_000962.3_prot_NP_215745.1_1226	cds-NP_215745.1
lcl|NC_000962.3_prot_NP_215746.1_1227	cds-NP_215746.1
lcl|NC_000962.3_prot_NP_215747.1_1228	cds-NP_215747.1
lcl|NC_000962.3_prot_NP_215748.1_1229	cds-NP_215748.1
lcl|NC_000962.3_prot_NP_215749.1_1230	cds-NP_215749.1
lcl|NC_000962.3_prot_NP_215750.1_1231	cds-NP_215750.1
lcl|NC_000962.3_prot_NP_215751.1_1232	cds-NP_215751.1
lcl|NC_000962.3_prot_NP_215752.1_1233	cds-NP_215752.1
lcl|NC_000962.3_prot_NP_215753.1_1234	cds-NP_215753.1
lcl|NC_000962.3_prot_NP_215754.1_1235	cds-NP_215754.1
lcl|NC_000962.3_prot_NP_215755.1_1236	cds-NP_215755.1
lcl|NC_000962.3_prot_NP_215756.1_1237	cds-NP_215756.1
lcl|NC_000962.3_prot_NP_215757.1_1238	cds-NP_215757.1
lcl|NC_000962.3_prot_NP_215758.1_1239	cds-NP_215758.1
lcl|NC_000962.3_prot_YP_177798.1_1240	cds-YP_177798.1
lcl|NC_000962.3_prot_NP_215760.1_1241	cds-NP_215760.1
lcl|NC_000962.3_prot_NP_215761.1_1242	cds-NP_215761.1
lcl|NC_000962.3_prot_NP_215762.1_1243	cds-NP_215762.1
lcl|NC_000962.3_prot_NP_215763.1_1244	cds-NP_215763.1
lcl|NC_000962.3_prot_NP_215764.2_1245	cds-NP_215764.2
lcl|NC_000962.3_prot_NP_215765.1_1246	cds-NP_215765.1
lcl|NC_000962.3_prot_NP_215766.1_1247	cds-NP_215766.1
lcl|NC_000962.3_prot_NP_215767.1_1248	cds-NP_215767.1
lcl|NC_000962.3_prot_NP_215768.1_1249	cds-NP_215768.1
lcl|NC_000962.3_prot_NP_215769.1_1250	cds-NP_215769.1
lcl|NC_000962.3_prot_NP_215770.1_1251	cds-NP_215770.1
lcl|NC_000962.3_prot_NP_215771.1_1252	cds-NP_215771.1
lcl|NC_000962.3_prot_NP_215772.1_1253	cds-NP_215772.1
lcl|NC_000962.3_prot_NP_215773.1_1254	cds-NP_215773.1
lcl|NC_000962.3_prot_NP_215774.1_1255	cds-NP_215774.1
lcl|NC_000962.3_prot_NP_215775.1_1256	cds-NP_215775.1
lcl|NC_000962.3_prot_NP_215776.1_1257	cds-NP_215776.1
lcl|NC_000962.3_prot_NP_215777.1_1258	cds-NP_215777.1
lcl|NC_000962.3_prot_NP_215778.1_1259	cds-NP_215778.1
lcl|NC_000962.3_prot_NP_215779.1_1260	cds-NP_215779.1
lcl|NC_000962.3_prot_NP_215780.1_1261	cds-NP_215780.1
lcl|NC_000962.3_prot_NP_215781.1_1262	cds-NP_215781.1
lcl|NC_000962.3_prot_NP_215782.1_1263	cds-NP_215782.1
lcl|NC_000962.3_prot_NP_215783.1_1264	cds-NP_215783.1
lcl|NC_000962.3_prot_NP_215784.1_1265	cds-NP_215784.1
lcl|NC_000962.3_prot_NP_215785.1_1266	cds-NP_215785.1
lcl|NC_000962.3_prot_NP_215786.1_1267	cds-NP_215786.1
lcl|NC_000962.3_prot_NP_215787.1_1268	cds-NP_215787.1
lcl|NC_000962.3_prot_NP_215788.1_1269	cds-NP_215788.1
